video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
02DPI.mp4,41.306436,4,10,0.75,0.25,0.25,1.0,0.75589,0.464877,0.411744,0.644429,0.644429,0.644429,1.0,0.261012,0.053935,0.027778,0.114242,40.345821
0KZYF.mp4,30.7307,9,12,0.666667,0.555556,0.333333,0.666667,0.824585,0.733068,0.385355,0.528032,0.555878,0.555878,0.913353,0.610538,0.66358,0.333333,0.535817,30.397033
0Z1PC.mp4,38.866667,7,18,1.0,1.0,0.428571,1.0,0.785408,0.716324,0.505834,0.731761,0.731761,0.731761,1.0,0.591927,0.454365,0.139342,0.395211,38.4
136V6.mp4,34.066667,5,17,1.0,1.0,0.4,1.0,0.884595,0.706551,0.46716,0.762475,0.762475,0.762475,1.0,0.766746,0.671905,0.3,0.57955,33.566667
1440M.mp4,28.389623,3,1,0.333333,0.0,0.0,0.333333,0.34658,0.34658,0.34658,0.34658,0.34658,0.34658,1.0,1.0,0.0,0.0,0.333333,27.410671
2KMGY.mp4,19.616102,2,4,0.5,0.0,0.0,1.0,0.430983,0.333716,0.382104,0.479498,0.479498,0.479498,1.0,0.5,0.0,0.0,0.166667,18.773693
2ZICJ.mp4,35.123484,5,11,1.0,0.8,0.6,1.0,0.986499,0.829517,0.43838,0.419169,0.437539,0.437539,0.908956,0.362441,0.257997,0.177222,0.265887,34.488521
3HLP7.mp4,30.846004,2,5,0.5,0.5,0.0,1.0,0.522409,0.522409,0.171052,0.150651,0.150651,0.150651,1.0,0.35,0.35,0.0,0.233333,30.544578
47RAA.mp4,42.129327,2,3,1.0,0.5,0.0,1.0,0.516812,0.516812,0.479954,0.41345,0.41345,0.41345,1.0,1.0,1.0,0.0,0.666667,39.190072
4BIMI.mp4,37.445573,4,12,1.0,0.25,0.0,1.0,0.550299,0.497247,0.397533,0.556136,0.556136,0.556136,1.0,0.757324,0.152778,0.0,0.303367,35.786855
5OV3M.mp4,32.642539,1,8,1.0,1.0,1.0,1.0,0.747177,0.747177,0.277504,0.211695,0.211695,0.211695,1.0,0.916667,1.0,1.0,0.972222,32.106867
7MRKY.mp4,36.669967,3,20,1.0,0.666667,0.666667,1.0,0.905956,0.905956,0.114602,0.169829,0.170101,0.170101,0.990667,1.0,0.888889,0.888889,0.925926,36.036
8SXHK.mp4,29.744021,3,6,1.0,0.0,0.0,1.0,0.379665,0.379665,0.322993,0.208025,0.208025,0.208025,1.0,0.496296,0.0,0.0,0.165432,28.842687
9ZE0J.mp4,32.1,5,12,1.0,0.8,0.2,1.0,0.741445,0.674052,0.480207,0.660762,0.660762,0.660762,1.0,0.828203,0.653333,0.033333,0.504957,31.166667
AF5BS.mp4,30.163467,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BIJYC.mp4,35.2352,6,14,0.666667,0.333333,0.0,1.0,0.643321,0.584817,0.214124,0.384463,0.401943,0.401943,0.898379,0.986111,0.375,0.0,0.453704,34.4344
C6C7Q.mp4,31.6,5,2,0.2,0.0,0.0,0.4,0.485768,0.254994,0.341553,0.566228,0.593224,0.593224,0.92561,0.2,0.0,0.0,0.066667,31.2
CSPSU.mp4,25.370191,2,9,1.0,1.0,0.5,1.0,0.851415,0.851415,0.20957,0.273874,0.273874,0.273874,1.0,1.0,1.0,0.75,0.916667,24.835378
