video,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,predicted_total_duration_seconds
2Z8G8.mp4,2,1,0.5,0.0,0.0,0.5,0.42916,0.383572,0.42916,0.724989,0.774725,0.774725,0.918653,27.518428
36T5X.mp4,5,17,1.0,1.0,0.2,1.0,0.723742,0.690245,0.321698,0.517555,0.53649,0.53649,0.93616,32.8
4H64T.mp4,5,5,0.6,0.0,0.0,1.0,0.382138,0.306698,0.324271,0.596488,0.611202,0.611202,0.961208,42.940794
5R8BL.mp4,3,5,0.666667,0.666667,0.0,1.0,0.554166,0.511111,0.50037,0.943379,0.943379,1.0,0.943379,20.75434
61IVZ.mp4,5,9,0.8,0.6,0.2,0.8,0.948837,0.615107,0.426458,0.554036,0.554036,0.554036,1.0,24.0
69R8T.mp4,1,9,1.0,0.0,0.0,1.0,0.493924,0.493924,0.068384,0.169286,0.183206,0.183206,0.690218,30.492703
6HT0J.mp4,2,8,1.0,1.0,1.0,1.0,0.883936,0.855795,0.41098,0.426057,0.426057,0.426057,1.0,31.2
759MY.mp4,4,5,1.0,0.25,0.0,1.0,0.545601,0.471718,0.46653,0.738351,0.738351,0.738351,1.0,20.189881
7SNIO.mp4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7XMBM.mp4,3,16,1.0,1.0,0.666667,1.0,0.707407,0.707407,0.217198,0.296378,0.296378,0.296378,1.0,30.366667
86E2E.mp4,8,6,0.375,0.25,0.125,0.75,0.76648,0.461323,0.41951,0.588922,0.653292,0.653292,0.856673,18.747747
8SDK5.mp4,2,8,0.5,0.5,0.0,1.0,0.58925,0.429545,0.4138,0.542097,0.678851,0.678851,0.72907,18.366667
95GB4.mp4,7,13,1.0,1.0,0.428571,1.0,0.930438,0.704938,0.606308,0.95044,0.95044,1.0,0.95044,29.463636
A33VQ.mp4,1,6,1.0,0.0,0.0,1.0,0.490583,0.490583,0.313812,0.282946,0.282946,0.282946,1.0,30.4
AIJ0M.mp4,3,4,0.666667,0.333333,0.333333,1.0,0.893261,0.665878,0.464138,0.42519,0.42519,0.42519,1.0,30.813462
AL1WC.mp4,1,14,1.0,1.0,0.0,1.0,0.594613,0.594613,0.066442,0.127895,0.127895,0.127895,1.0,29.717881
B4ED1.mp4,1,11,1.0,1.0,0.0,1.0,0.587464,0.587464,0.136319,0.280961,0.280961,0.280961,1.0,33.14519
BI4KK.mp4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BM3UJ.mp4,3,12,1.0,0.333333,0.333333,1.0,0.752614,0.547803,0.34001,0.438002,0.438002,0.438002,1.0,31.727018
C0CMQ.mp4,3,1,0.333333,0.0,0.0,0.333333,0.368378,0.331355,0.368378,0.347544,0.370758,0.370758,0.847344,18.747747
COBS0.mp4,1,16,1.0,1.0,1.0,1.0,0.872053,0.872053,0.203173,0.240157,0.240157,0.240157,1.0,30.4
DJ87X.mp4,3,13,1.0,1.0,1.0,1.0,0.998629,0.958611,0.410268,0.548963,0.548963,0.548963,1.0,31.323283
DM2XL.mp4,2,8,1.0,1.0,0.5,1.0,0.862881,0.862881,0.246581,0.25473,0.25473,0.25473,1.0,21.622164
DU416.mp4,1,9,1.0,1.0,0.0,1.0,0.672984,0.672984,0.342072,0.341654,0.341654,0.341654,1.0,29.566667
F1V30.mp4,2,3,0.0,0.0,0.0,1.0,0.262095,0.210206,0.216127,0.336403,0.370095,0.370095,0.787021,29.995834
FXGQI.mp4,2,1,0.0,0.0,0.0,0.5,0.182524,0.182524,0.182524,0.182524,0.182524,0.182524,1.0,27.388327
G8NEV.mp4,3,3,0.333333,0.0,0.0,1.0,0.312262,0.238439,0.307006,0.287954,0.287954,0.287954,1.0,32.99135
HOYUT.mp4,1,5,1.0,0.0,0.0,1.0,0.323435,0.323435,0.239186,0.190766,0.190766,0.190766,1.0,29.89597
HRASP.mp4,4,2,0.0,0.0,0.0,0.5,0.26601,0.209834,0.249994,0.541884,0.541884,0.541884,1.0,28.79856
KY2KA.mp4,3,15,1.0,0.666667,0.333333,1.0,0.816391,0.816391,0.172202,0.160402,0.160402,0.160402,1.0,36.163943
L39A4.mp4,1,4,0.0,0.0,0.0,1.0,0.225491,0.225491,0.157474,0.195671,0.195671,0.195671,1.0,36.8
MNNJS.mp4,3,9,1.0,1.0,1.0,1.0,0.846955,0.82045,0.41323,0.391544,0.391544,0.391544,1.0,31.166667
N0ZPI.mp4,2,10,1.0,0.5,0.5,1.0,0.725991,0.607705,0.300548,0.374678,0.374678,0.374678,1.0,29.6296
NI15V.mp4,2,16,1.0,1.0,1.0,1.0,0.878243,0.862007,0.330907,0.392083,0.392083,0.392083,1.0,30.366667
NO1GJ.mp4,7,7,0.714286,0.571429,0.428571,1.0,0.852629,0.741186,0.671956,0.960065,0.960065,1.0,0.960065,24.766667
