video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
1CYLM.mp4,33.4,2,3,1.0,0.5,0.5,1.0,0.847105,0.841047,0.404629,0.683939,0.683939,0.683939,1.0,1.0,1.0,1.0,1.0,20.766667
1ZWPP.mp4,23.392405,3,7,1.0,0.0,0.0,1.0,0.468452,0.4265,0.383699,0.498335,0.498335,0.498335,1.0,0.810119,0.0,0.0,0.27004,23.088608
2P7A9.mp4,36.102733,6,5,0.5,0.5,0.333333,0.666667,0.901295,0.658974,0.523393,0.472184,0.472184,0.472184,1.0,0.423148,0.319444,0.25,0.330864,36.036
2RFLZ.mp4,14.771442,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3MSZA.mp4,31.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43CCM.mp4,30.458651,2,14,1.0,1.0,1.0,1.0,0.788378,0.744829,0.500154,0.736128,0.736128,0.736128,1.0,0.739688,0.679347,0.654085,0.69104,29.75031
4J1AP.mp4,20.628161,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5C4EK.mp4,15.623122,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5NV2Z.mp4,22.373248,4,7,1.0,0.5,0.25,1.0,0.73769,0.566109,0.456095,0.589129,0.62582,0.62582,0.909489,0.79375,0.5,0.5,0.597917,21.651531
6ZWSU.mp4,30.604054,7,11,0.857143,0.857143,0.285714,1.0,0.842858,0.653285,0.586112,0.846918,0.888461,0.888461,0.947678,0.829734,0.596599,0.214286,0.546873,30.503713
9HG4Z.mp4,17.2,1,2,1.0,0.0,0.0,1.0,0.483215,0.483215,0.432208,0.481201,0.481201,0.481201,1.0,1.0,0.0,0.0,0.333333,16.0
9JZO2.mp4,35.819375,12,17,0.75,0.666667,0.416667,0.833333,0.985481,0.778955,0.668358,0.922242,0.940261,0.940261,0.979643,0.566539,0.424076,0.230556,0.407057,35.310095
AKO6M.mp4,18.633333,2,2,1.0,0.5,0.0,1.0,0.524665,0.417931,0.4579,0.7281,0.787704,0.787704,0.905859,1.0,0.5,0.0,0.5,18.4
AMT7R.mp4,30.11242,1,7,1.0,1.0,1.0,1.0,0.877342,0.877342,0.38862,0.275966,0.275966,0.275966,1.0,0.95,0.583333,0.333333,0.622222,29.710921
AOK1L.mp4,35.171917,2,14,0.5,0.0,0.0,1.0,0.361349,0.361349,0.036376,0.088829,0.094898,0.094898,0.581427,1.0,0.0,0.0,0.333333,33.697851
B82GJ.mp4,24.533333,1,8,1.0,1.0,0.0,1.0,0.651117,0.651117,0.232247,0.19987,0.19987,0.19987,1.0,1.0,1.0,0.0,0.666667,24.0
BL7OF.mp4,36.036,2,6,0.5,0.5,0.0,1.0,0.50159,0.50159,0.118121,0.113523,0.113523,0.113523,1.0,0.183333,0.183333,0.0,0.122222,35.2352
DLFPX.mp4,26.619397,1,11,1.0,1.0,0.0,1.0,0.67084,0.67084,0.167451,0.296598,0.296598,0.296598,1.0,0.230952,0.1,0.0,0.110317,25.958418
E6DLK.mp4,27.293933,6,8,0.666667,0.666667,0.166667,1.0,0.838126,0.685429,0.384239,0.415492,0.415492,0.415492,1.0,0.412302,0.358003,0.065476,0.278593,27.193833
F7TG5.mp4,21.1,4,8,0.75,0.75,0.75,1.0,0.910504,0.880346,0.559716,0.668194,0.668194,0.668194,1.0,0.791964,0.750992,0.6875,0.743485,20.8
FPJ9D.mp4,33.433333,1,17,1.0,1.0,1.0,1.0,0.734499,0.734499,0.131059,0.205974,0.21351,0.21351,0.853714,0.306349,0.309524,0.142857,0.25291,32.8
FXZI5.mp4,32.4,1,6,1.0,1.0,1.0,1.0,0.841651,0.841651,0.411114,0.293701,0.293701,0.293701,1.0,0.95,0.583333,0.5,0.677778,32.0
FYYFX.mp4,31.033333,5,13,1.0,1.0,0.4,1.0,0.807537,0.668974,0.573391,0.812603,0.812603,0.812603,1.0,0.618376,0.451251,0.098571,0.389399,30.4
